 _____ _____ _____               _ 
|     |     |     |___ ___ ___ _| |
|   --|   --| | | | . |  _| -_| . |
|_____|_____|_|_|_|  _|_| |___|___|
                  |_|              

using CPU (1 thread(s))

Reweighted 9971 sequences with threshold 0.8 to Beff=6165.96 weight mean=0.618389, min=0.0153846, max=1

Will optimize 31443789 32-bit variables

iter	eval	f(x)    	║x║     	║g║     	step
1   	1   	2.67686e+06	70435.9 	2.8925065e+10	4.91e-06
2   	1   	2.58434e+06	70435.2 	1.9460942e+10	3.86e-06
3   	1   	2.4933e+06	70434.2 	1.3115208e+10	4.28e-06
4   	1   	2.40252e+06	70432.7 	9.345876e+09	5.41e-06
5   	1   	2.31204e+06	70431.9 	6.9867433e+09	6.94e-06
6   	1   	2.22289e+06	70435.3 	5.1500068e+09	8.77e-06
7   	1   	2.13587e+06	70444.7 	3.8291581e+09	1.16e-05
8   	1   	2.05108e+06	70469.2 	2.8643592e+09	1.6e-05
9   	1   	1.96851e+06	70533   	2.1834404e+09	2.26e-05
10  	1   	1.88963e+06	70652.2 	1.96558e+09	3.24e-05
11  	1   	1.81857e+06	70885.5 	3.4461791e+09	4.1e-05
12  	2   	1.78045e+06	71095.6 	2.1456573e+09	1.52e-05
13  	1   	1.74096e+06	71362.6 	2.0525565e+09	2.51e-05
14  	1   	1.70468e+06	71678.6 	2.2494387e+09	2.51e-05
15  	1   	1.66868e+06	72112.5 	1.777188e+09	2.55e-05
16  	1   	1.63617e+06	72666.9 	2.7357399e+09	3.45e-05
17  	2   	1.61607e+06	73046.4 	1.4584682e+09	1.34e-05
18  	1   	1.5983e+06	73373.5 	2.1170025e+09	2.03e-05
19  	1   	1.57781e+06	73744.5 	1.7346605e+09	1.5e-05
20  	1   	1.55957e+06	74082   	1.6592044e+09	1.57e-05
21  	1   	1.54105e+06	74476   	1.6809061e+09	1.81e-05
22  	1   	1.5229e+06	74906.6 	1.7357244e+09	1.83e-05
23  	2   	1.51225e+06	75144.8 	1.1495553e+09	9.36e-06
24  	1   	1.50222e+06	75339.2 	1.1675343e+09	1.15e-05
25  	1   	1.49117e+06	75521.1 	1.0882556e+09	1.09e-05
26  	1   	1.48058e+06	75675.5 	7.3524026e+08	9.94e-06
27  	1   	1.46987e+06	75811   	9.2518246e+08	1.43e-05
28  	1   	1.45877e+06	75938.4 	7.1718093e+08	1.09e-05
29  	1   	1.44832e+06	76054.8 	7.2446208e+08	1.29e-05
30  	1   	1.43727e+06	76176.9 	8.1600941e+08	1.34e-05
31  	1   	1.42632e+06	76284.9 	6.6651283e+08	1.12e-05
32  	1   	1.41563e+06	76391.6 	6.5726547e+08	1.35e-05
33  	1   	1.4051e+06	76504.6 	6.9457574e+08	1.42e-05
34  	1   	1.39486e+06	76621.3 	6.652887e+08	1.41e-05
35  	1   	1.38543e+06	76750.2 	7.668839e+08	1.57e-05
36  	1   	1.37653e+06	76923.5 	9.3389446e+08	1.65e-05
37  	2   	1.37147e+06	77037   	7.0135968e+08	8.22e-06
38  	1   	1.3668e+06	77146.2 	6.7281606e+08	1.01e-05
39  	1   	1.36216e+06	77268.1 	7.7501658e+08	1.14e-05
40  	1   	1.35775e+06	77403.2 	7.3003162e+08	1.02e-05
41  	2   	1.355e+06	77474.8 	5.9437318e+08	5.79e-06
42  	1   	1.35229e+06	77530.7 	4.2568662e+08	5.69e-06
43  	1   	1.34969e+06	77583.8 	4.2902966e+08	7.16e-06
44  	1   	1.34692e+06	77631   	4.8454134e+08	6.88e-06
45  	1   	1.34409e+06	77669.3 	4.2306717e+08	5.43e-06
46  	1   	1.34123e+06	77703.3 	3.5092934e+08	5.45e-06
47  	1   	1.33829e+06	77734.2 	3.5556614e+08	6.11e-06
48  	1   	1.33537e+06	77761.4 	3.3960397e+08	5.68e-06
49  	1   	1.33242e+06	77786.6 	2.818359e+08	5.5e-06
50  	1   	1.32954e+06	77807.6 	2.7542029e+08	6.33e-06

Exit with status code -1022 - Maximum number of iterations reached.

Final fx = 1329542.000000

xnorm = 76.014
Output can be found in /tmp/ewbell/ConDo_prot1/seq.ccmpred
